Continuing training from epoch 19 with edge weight 3.0
E19 | Step 520/13500 | Loss: 11.9195 | l1: 1.1561 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0350 | edge: 0.7284 | saturation: 0.0000
E19 | Step 530/13500 | Loss: 11.5359 | l1: 1.0851 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0258 | edge: 0.3917 | saturation: 0.0334
E19 | Step 540/13500 | Loss: 11.4732 | l1: 0.9083 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0253 | edge: 0.4932 | saturation: 0.0464
E19 | Step 550/13500 | Loss: 12.2229 | l1: 1.4239 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0374 | edge: 0.7616 | saturation: 0.0000
E19 | Step 560/13500 | Loss: 11.8226 | l1: 1.1879 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0261 | edge: 0.6087 | saturation: 0.0000
E19 | Step 570/13500 | Loss: 11.8619 | l1: 1.1978 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0326 | edge: 0.5821 | saturation: 0.0493
E19 | Step 580/13500 | Loss: 12.4883 | l1: 1.8951 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0685 | edge: 0.5247 | saturation: 0.0000
E19 | Step 590/13500 | Loss: 11.7776 | l1: 1.1472 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0293 | edge: 0.6011 | saturation: 0.0000
E19 | Step 600/13500 | Loss: 12.2618 | l1: 1.4546 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0601 | edge: 0.7471 | saturation: 0.0000
E19 | Step 610/13500 | Loss: 11.9520 | l1: 1.2663 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0458 | edge: 0.6277 | saturation: 0.0122
E19 | Step 620/13500 | Loss: 11.8126 | l1: 1.1305 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0326 | edge: 0.6494 | saturation: 0.0000
E19 | Step 630/13500 | Loss: 12.0270 | l1: 1.4005 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0379 | edge: 0.5887 | saturation: 0.0000
E19 | Step 640/13500 | Loss: 13.0014 | l1: 1.8893 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0756 | edge: 0.8539 | saturation: 0.1826
E19 | Step 650/13500 | Loss: 12.6702 | l1: 1.8557 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0712 | edge: 0.7433 | saturation: 0.0000
E19 | Step 660/13500 | Loss: 12.3253 | l1: 1.5148 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0571 | edge: 0.7123 | saturation: 0.0411
E19 | Step 670/13500 | Loss: 11.9484 | l1: 1.3124 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0440 | edge: 0.5699 | saturation: 0.0221
E19 | Step 680/13500 | Loss: 11.5394 | l1: 0.9269 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0211 | edge: 0.5914 | saturation: 0.0000
E19 | Step 690/13500 | Loss: 12.3581 | l1: 1.7087 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0731 | edge: 0.5763 | saturation: 0.0000
E19 | Step 700/13500 | Loss: 12.7093 | l1: 1.8852 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0832 | edge: 0.7409 | saturation: 0.0000
E19 | Step 710/13500 | Loss: 12.2384 | l1: 1.2933 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0427 | edge: 0.9024 | saturation: 0.0000
E19 | Step 720/13500 | Loss: 12.0215 | l1: 1.2454 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0391 | edge: 0.7370 | saturation: 0.0000
E19 | Step 730/13500 | Loss: 12.2047 | l1: 1.6791 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0583 | edge: 0.4673 | saturation: 0.0000
E19 | Step 740/13500 | Loss: 12.0775 | l1: 1.2490 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0371 | edge: 0.7914 | saturation: 0.0000
E19 | Step 750/13500 | Loss: 12.1343 | l1: 1.2404 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0362 | edge: 0.8577 | saturation: 0.0000
E19 | Step 760/13500 | Loss: 12.6303 | l1: 1.8148 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0734 | edge: 0.7421 | saturation: 0.0000
E19 | Step 770/13500 | Loss: 11.9250 | l1: 1.2861 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0450 | edge: 0.5726 | saturation: 0.0213
E19 | Step 780/13500 | Loss: 12.9815 | l1: 2.0832 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0957 | edge: 0.8000 | saturation: 0.0026
E19 | Step 790/13500 | Loss: 13.0207 | l1: 1.9913 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0887 | edge: 0.8099 | saturation: 0.1307
E19 | Step 800/13500 | Loss: 11.9707 | l1: 1.3307 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0411 | edge: 0.5989 | saturation: 0.0000
E19 | Step 810/13500 | Loss: 11.8233 | l1: 1.0425 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0272 | edge: 0.6818 | saturation: 0.0718
E19 | Step 820/13500 | Loss: 11.8160 | l1: 1.1097 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0346 | edge: 0.6718 | saturation: 0.0000
E19 | Step 830/13500 | Loss: 11.9245 | l1: 1.2086 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0359 | edge: 0.6801 | saturation: 0.0000
E19 | Step 840/13500 | Loss: 12.2474 | l1: 1.3767 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0498 | edge: 0.8209 | saturation: 0.0000
E19 | Step 850/13500 | Loss: 11.2524 | l1: 0.8716 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0167 | edge: 0.3641 | saturation: 0.0000
E19 | Step 860/13500 | Loss: 12.2031 | l1: 1.3694 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0334 | edge: 0.8003 | saturation: 0.0000
E19 | Step 870/13500 | Loss: 12.4203 | l1: 1.6942 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0588 | edge: 0.6450 | saturation: 0.0223
E19 | Step 880/13500 | Loss: 11.9861 | l1: 1.3746 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0590 | edge: 0.5371 | saturation: 0.0155
E19 | Step 890/13500 | Loss: 11.7819 | l1: 1.0941 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0243 | edge: 0.5355 | saturation: 0.1281
E19 | Step 900/13500 | Loss: 11.9800 | l1: 1.1987 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0437 | edge: 0.6616 | saturation: 0.0761
E19 | Step 910/13500 | Loss: 12.6370 | l1: 1.6340 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0667 | edge: 0.9028 | saturation: 0.0334
E19 | Step 920/13500 | Loss: 12.3904 | l1: 1.5905 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0591 | edge: 0.7408 | saturation: 0.0000
E19 | Step 930/13500 | Loss: 11.2747 | l1: 0.7443 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0133 | edge: 0.4829 | saturation: 0.0342
E19 | Step 940/13500 | Loss: 11.8938 | l1: 1.2847 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0351 | edge: 0.5740 | saturation: 0.0000
E19 | Step 950/13500 | Loss: 11.7597 | l1: 0.9485 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0258 | edge: 0.7854 | saturation: 0.0000
E19 | Step 960/13500 | Loss: 12.5758 | l1: 1.7154 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0790 | edge: 0.7814 | saturation: 0.0000
E19 | Step 970/13500 | Loss: 12.1599 | l1: 1.2840 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0325 | edge: 0.7618 | saturation: 0.0816
E19 | Step 980/13500 | Loss: 11.4484 | l1: 0.8638 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0158 | edge: 0.5688 | saturation: 0.0000
E19 | Step 990/13500 | Loss: 11.6583 | l1: 1.2052 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0332 | edge: 0.4199 | saturation: 0.0000
E19 | Step 1000/13500 | Loss: 11.6728 | l1: 0.9329 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0207 | edge: 0.6814 | saturation: 0.0379
E19 | Step 1010/13500 | Loss: 11.9925 | l1: 1.2318 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0379 | edge: 0.6115 | saturation: 0.1113
E19 | Step 1020/13500 | Loss: 11.9331 | l1: 1.4548 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0420 | edge: 0.4363 | saturation: 0.0000
E19 | Step 1030/13500 | Loss: 11.7683 | l1: 1.1835 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0309 | edge: 0.5539 | saturation: 0.0000
E19 | Step 1040/13500 | Loss: 12.2223 | l1: 1.4968 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0482 | edge: 0.6773 | saturation: 0.0000
E19 | Step 1050/13500 | Loss: 12.1656 | l1: 1.3228 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0474 | edge: 0.7888 | saturation: 0.0065
E19 | Step 1060/13500 | Loss: 12.1998 | l1: 1.5453 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0515 | edge: 0.5399 | saturation: 0.0632
E19 | Step 1070/13500 | Loss: 11.5384 | l1: 0.7744 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0177 | edge: 0.7462 | saturation: 0.0000
E19 | Step 1080/13500 | Loss: 11.4780 | l1: 0.9965 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0193 | edge: 0.4622 | saturation: 0.0000
E19 | Step 1090/13500 | Loss: 12.8582 | l1: 2.0415 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0995 | edge: 0.7172 | saturation: 0.0000
E19 | Step 1100/13500 | Loss: 12.1564 | l1: 1.4219 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0597 | edge: 0.6564 | saturation: 0.0185
